target_freq,prescalar,period
20,79,62499
20,99,49999
20,124,39999
20,127,39061
20,159,31249
20,199,24999
20,249,19999
20,255,19530
20,319,15624
20,399,12499
20,499,9999
20,624,7999
20,639,7811
20,799,6249
20,999,4999
20,1249,3999
20,1279,3905
20,1599,3124
20,1999,2499
20,2499,1999
20,3124,1599
20,3199,1561
20,3999,1249
20,4999,999
20,6249,799
20,6399,780
20,7999,624
20,9999,499
20,12499,399
20,15624,319
20,15999,311
20,19999,249
20,24999,199
20,31249,159
20,31999,155
20,39999,124
20,49999,99
20,62499,79

